Thrust (N),0.0 m/s,2.0 m/s,4.0 m/s,6.0 m/s,8.0 m/s,10.0 m/s,12.0 m/s,14.0 m/s,16.0 m/s,18.0 m/s,20.0 m/s,22.0 m/s,24.0 m/s,26.0 m/s,28.0 m/s,30.0 m/s,32.0 m/s,34.0 m/s,36.0 m/s,38.0 m/s,40.0 m/s,42.0 m/s,44.0 m/s,46.0 m/s,48.0 m/s,50.0 m/s,52.0 m/s,54.0 m/s,56.0 m/s,58.0 m/s,60.0 m/s,62.0 m/s,64.0 m/s,66.0 m/s,68.0 m/s,70.0 m/s,72.0 m/s,74.0 m/s,76.0 m/s,78.0 m/s,80.0 m/s,82.0 m/s,84.0 m/s,86.0 m/s,88.0 m/s,90.0 m/s,92.0 m/s,94.0 m/s,96.0 m/s,98.0 m/s,100.0 m/s,102.0 m/s,104.0 m/s,106.0 m/s,108.0 m/s,110.0 m/s,112.0 m/s,114.0 m/s,116.0 m/s,118.0 m/s,120.0 m/s,122.0 m/s,124.0 m/s,126.0 m/s,128.0 m/s,130.0 m/s,132.0 m/s,134.0 m/s,136.0 m/s,138.0 m/s,140.0 m/s,142.0 m/s,144.0 m/s,146.0 m/s,148.0 m/s,150.0 m/s,152.0 m/s,154.0 m/s,156.0 m/s,158.0 m/s,160.0 m/s,162.0 m/s,164.0 m/s,166.0 m/s,168.0 m/s,170.0 m/s,172.0 m/s,174.0 m/s,176.0 m/s,178.0 m/s,180.0 m/s
187.477,3482.354698315356,3569.2544929732817,3659.2264633871614,3751.8640421455793,3847.653304425383,3946.540593115148,4048.263607947055,4152.934697868933,4260.212244185946,4371.215014790106,4485.078805469007,4602.65804088121,4723.228351395347,4847.240243168389,4974.160668659294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.259,3449.2122594190582,3535.661059022351,3624.60135059415,3716.975073597882,3811.6742149937068,3910.121071669282,4011.0918370502363,4114.9377617995315,4221.795786609717,4331.600290348227,4445.109174764345,4561.600126529228,4681.342870019301,4804.183212387163,4930.671070802616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.042,3416.097031063727,3502.0952058874727,3590.230860157035,3682.114749523542,3776.2757083313486,3873.8457834839346,3974.2658990960576,4077.2853324420803,4183.453254914436,4292.191692595248,4405.17235984844,4520.592316810972,4639.679863579461,4761.70426838512,4887.217178691306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.824,3383.175238803107,3468.690697502041,3556.389314000495,3647.2257809758453,3741.11333412691,3837.5847756723624,3937.5440726181014,4039.80536927189,4145.134951496875,4253.438567311262,4365.202729143778,4479.898273023373,4597.995048827874,4719.2489247893345,4843.7275808346285,4971.6989113704085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.607,3350.488675094467,3435.3261714949026,3522.5755523646085,3612.365456901505,3705.9798288668103,3801.353538803164,3900.852395422967,4002.3561778284397,4106.84810809854,4214.717259043107,4325.265914227872,4439.587246216096,4556.588662413831,4677.01579610057,4800.273688723318,4927.769329239243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.39,3317.802111385827,3401.9616454877646,3488.8292027949874,3578.014244109794,3670.84632360671,3765.913550405966,3864.3166525856223,3965.331504959947,4068.988560837865,4176.057214637278,4285.647691387765,4399.276219408819,4515.1822759997885,4634.938308445122,4757.4218718033735,4883.839747108078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.172,3285.349452662567,3368.9766566740213,3455.1906541531716,3543.9148942511297,3635.683949402272,3730.475173347426,3827.754600359424,3928.3049351839236,4031.191056456775,4137.402996254782,4246.546037904537,4358.932069325613,4474.187046288811,4592.870326492985,4714.538663122698,4839.8740683605365,4968.468505072282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.955,3253.2344990751794,3336.044127234573,3421.5797233673834,3509.843540574616,3600.5504441421726,3695.0658918365534,3791.4216272289805,3891.3465545780828,3993.5040446702405,4098.797069064296,4207.476487585088,4318.621042518337,4433.48266316431,4551.051391796176,4671.919061469478,4796.000840321808,4924.047400075659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.737,3221.0931568652877,3303.084537376521,3388.097323690135,3475.8897033075345,3566.1713437627072,3659.6275147780134,3755.6887556639904,3854.480977168205,3956.1633016570368,4060.667608758942,4168.455424620817,4278.74797329868,4392.744833545868,4509.19809478655,4629.381833610945,4752.64609426104,4879.589794581914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.52,3188.9974389316008,3270.6741027088005,3354.9216187178854,3442.022746479387,3531.832915662428,3624.2182332671414,3719.985221431977,3817.6456670632624,3918.853216068311,4022.56945342921,4129.485435370736,4239.311119455022,4352.040450421366,4467.930912631761,4586.959962788076,4709.32694322988,4835.168689585292,4963.306991634137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
