Thrust (N),0.0 m/s,2.0 m/s,4.0 m/s,6.0 m/s,8.0 m/s,10.0 m/s,12.0 m/s,14.0 m/s,16.0 m/s,18.0 m/s,20.0 m/s,22.0 m/s,24.0 m/s,26.0 m/s,28.0 m/s,30.0 m/s,32.0 m/s,34.0 m/s,36.0 m/s,38.0 m/s,40.0 m/s,42.0 m/s,44.0 m/s,46.0 m/s,48.0 m/s,50.0 m/s,52.0 m/s,54.0 m/s,56.0 m/s,58.0 m/s,60.0 m/s,62.0 m/s,64.0 m/s,66.0 m/s,68.0 m/s,70.0 m/s,72.0 m/s,74.0 m/s,76.0 m/s,78.0 m/s,80.0 m/s,82.0 m/s,84.0 m/s,86.0 m/s,88.0 m/s,90.0 m/s,92.0 m/s,94.0 m/s,96.0 m/s,98.0 m/s,100.0 m/s,102.0 m/s,104.0 m/s,106.0 m/s,108.0 m/s,110.0 m/s,112.0 m/s,114.0 m/s,116.0 m/s,118.0 m/s,120.0 m/s,122.0 m/s,124.0 m/s,126.0 m/s,128.0 m/s,130.0 m/s,132.0 m/s,134.0 m/s,136.0 m/s,138.0 m/s,140.0 m/s,142.0 m/s,144.0 m/s,146.0 m/s,148.0 m/s,150.0 m/s,152.0 m/s,154.0 m/s,156.0 m/s,158.0 m/s,160.0 m/s,162.0 m/s,164.0 m/s,166.0 m/s,168.0 m/s,170.0 m/s,172.0 m/s,174.0 m/s,176.0 m/s,178.0 m/s,180.0 m/s
193.563,3892.7278674220074,3978.6921706238804,4066.653135228383,4158.722346513611,4252.867352944875,4350.291763310279,4450.514253384483,4553.76688453713,4660.047672286819,4769.0949010532295,4881.5349420341245,4996.055800980529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.346,3856.135745285258,3941.701672364185,4028.981568365179,4120.272581003951,4214.080296763048,4310.371308531552,4410.330935397693,4512.594537410557,4618.3181404937895,4726.72429273534,4838.237841605015,4952.431374585062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.129,3819.5436231485082,3904.7111741044887,3991.415829779668,4082.07187094065,4175.3568395181,4271.099056279342,4370.147617410903,4471.912748966026,4576.73456408858,4684.4818351056265,4795.012294669836,4908.8069481895955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.911,3783.3111008941573,3867.831760516296,3954.1724561737537,4044.117765479493,4136.63783808784,4232.022230642734,4329.931281085586,4431.4139045424245,4535.231114755194,4642.42373154786,4752.2924747805755,4865.1466759219875,4980.969815743513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.694,3747.553870591803,3831.0032381920278,3916.9596600502737,4006.194821024461,4097.978701712474,4192.995564520961,4289.972815536258,4390.948310401601,4493.868768804392,4600.400158452784,4709.6077286350655,4821.522249526521,4936.997116314752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.477,3711.79664028945,3794.307654227558,3879.8355629017606,3968.658362440041,4059.8214970481718,4154.051327217409,4250.670816752836,4350.482716260778,4453.110874521192,4558.635877123122,4667.1936391993695,4778.210038092343,4893.024416885992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.259,3676.010028532451,3758.2900216432467,3842.7552973227303,3931.1665826353164,4021.6329388878426,4115.0750897188655,4211.336523804429,4309.983871837176,4412.319489774324,4516.839773211831,4624.823379420581,4735.166510062041,4849.015585411686,4965.4318970954255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.042,3640.2527982300976,3722.3019601858527,3805.7054753115,3893.733158109415,3983.6769942101578,4076.4578501195124,4172.106498343419,4270.186424236556,4371.5615954911245,4475.505234910675,4582.59688611338,4692.222410102857,4805.042885982925,4921.095993288035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.824,3604.4661864730997,3686.284327601543,3769.341317744593,3856.4056179689464,3945.953559814372,4038.0155713698155,4132.87343806674,4230.575297459429,4330.770210744257,4434.42566197658,4540.490301214197,4649.530668698531,4761.583736159501,4876.723658992717,4993.84460226651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.607,3569.4209420857437,3650.2962661441484,3733.137132442444,3819.1087244131572,3908.261097039601,3999.6096670885777,4093.7592552241754,4191.019849911119,4290.231122071217,4393.3798161138575,4498.445375469731,4606.873977985014,4718.231347253452,4832.387755185325,4949.1349371369315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.39,3534.477319807256,3614.308204686754,3696.932947140295,3782.2270713673897,3870.6975465120995,3961.666772277452,4055.0953389917577,4151.543046342258,4250.366133124147,4352.333970251137,4457.093898500997,4564.439682862621,4675.083990187049,4788.220046257586,4904.425272007353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.172,3499.5079700722686,3578.7846507640966,3660.699013123847,3745.7517284263326,3833.1393444316086,3923.692700067139,4016.3996529021238,4112.033804972601,4210.468387407196,4311.254397317041,4415.708443326044,4522.013277827224,4632.050101348196,4744.472344251568,4859.678869272902,4977.301684441042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.955,3464.7750945136845,3543.6156313065317,3624.494827821699,3709.3063324006625,3795.712144836453,3885.812221423882,3978.006852275175,4072.9326529804744,4170.678969254517,4270.860678090527,4374.356966357312,4479.970272409576,4589.119492626771,4700.760559899086,4814.969204143325,4932.204604456549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.737,3430.0136792052567,3508.4177137228708,3588.5281029804282,3672.8309894596046,3759.0112936950786,3848.004476488971,3939.7823699351343,4033.964231112155,4130.8837899629425,4230.680325738915,4332.971511182359,4438.269562804079,4546.3526815360065,4657.362977008059,4770.641323068187,4887.0704685312285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.52,3395.3422706373412,3473.410068305831,3553.1480085700455,3636.385593433934,3722.3405746153985,3810.2277723955503,3901.5892705855217,3995.0883129794665,4091.2427480787305,4190.557279659738,4291.803275912671,4396.603090234384,4503.62098276962,4614.007213793574,4726.560056986295,4841.973388546734,4959.889108929155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.303,3361.0617867950577,3438.4532017363313,3517.767914159662,3599.9415590303515,3685.669855535717,3773.079924439795,3863.556464091731,3956.625728064919,4052.024210358266,4150.5130405043465,4251.35601682393,4354.936617664686,4461.557318389934,4570.833189876961,4682.621275786212,4796.920089473427,4914.380733420607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.085,3326.7531349298974,3403.467611365214,3482.465183631702,3564.2967090695,3648.9690043943438,3736.1352123336833,3825.49937165716,3918.1315387256273,4012.7734470521646,4110.435897290488,4210.875522518189,4313.23590805919,4419.520989973549,4527.710500363806,4638.8625579242225,4752.41854278934,4868.834964012711,4987.774253693056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.868,3292.605088169246,3368.920986430165,3447.2985489129637,3528.6811241742976,3612.2982853146623,3699.220832503521,3787.759408090768,3879.757926885579,3973.876551820414,4070.7963638687866,4170.504142876886,4272.190296309624,4377.51917414207,4484.885287066023,4595.169813922569,4707.953532678885,4823.326588504163,4941.835862512096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.651,3258.927739280561,3334.4195374938786,3412.1319141942263,3493.1073886664076,3576.1824154166097,3662.3064526733588,3750.6013995110816,3841.463662597587,3935.1350156059902,4031.299474958856,4130.160669227419,4231.43372759787,4335.5173583105925,4442.53235313869,4551.717327854803,4663.784614501485,4778.128324047511,4895.897471331136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.433,3225.222717960578,3299.891679369124,3377.2369067896343,3457.6776549477177,3540.317075304506,3625.3617405672467,3713.4128584674836,3803.137932192677,3896.377558091321,3991.8701434108502,4089.9235275083793,4190.667645750789,4293.623177986468,4400.144618115279,4508.229137197006,4619.643955678105,4733.219304350429,4849.921332910094,4969.159450165182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.216,3191.5602231295534,3265.9973951277107,3342.528500266951,3422.277009680357,3504.4811812844496,3588.710356956803,3676.2548498877973,3765.6454960220476,3857.8054579264513,3952.853231769879,4050.130876900591,4150.015518544039,4252.537224307304,4357.791684187946,4465.376002624526,4575.690310935529,4688.441418937471,4803.982941729135,4922.749892233688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.998,3157.9144186262915,3232.0752602008056,3307.791574100452,3387.0187094980756,3468.8052179571123,3552.6066924590664,3639.066308844199,3728.1938797930366,3819.2016633489557,3913.804260217945,4010.305528962803,4109.329987781654,4211.417510600464,4315.403949164534,4422.627795895959,4531.821734248011,4643.895681060269,4758.592094598517,4876.302199907836,4996.318771166208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.781,3124.2962379362516,3198.184172649426,3273.5569353166156,3352.079478747711,3433.1855631686385,3516.5326697220016,3601.9083002645125,3690.7730120174165,3781.071086252923,3874.8975146158773,3970.870817841628,4069.104913492058,4170.407471501508,4273.637298294891,4379.914686217253,4488.192953960404,4599.390287482753,4713.293981900086,4829.892641976342,4949.419301768879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.564,3090.9638214080637,3164.3494530526928,3239.459437351791,3317.140247997346,3397.5976297563716,3480.5765603858185,3565.552582211381,3653.352144241795,3743.3781852614193,3836.0510863776076,3931.5612038998456,4029.00704630173,4129.426647131546,4232.205764851603,4337.201576538545,4445.29150251774,4555.154746298718,4668.253975891469,4783.712408312653,4902.5198323715495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.346,3058.349429066159,3130.486931714303,3205.333921722247,3282.4861878054016,3362.4132876341937,3444.6907470195756,3529.2104599213503,3615.900528012785,3705.6543122888215,3797.2371240007155,3892.253246597179,3989.0110738727667,4088.5698909025186,4190.763826908649,4294.609162945694,4403.800772690491,4513.043436619311,4623.2842621476875,4737.909605327088,4855.581826023197,4975.476067040556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.129,3025.7618137294603,3096.7548641323865,3171.286981125858,3248.1621079744828,3327.257832492411,3408.8343965542895,3492.9410188623024,3578.969129089714,3667.9614112973177,3759.2753517516453,3853.1151901219087,3949.399275038582,4048.1469256590863,4149.438064531959,4252.788378226419,4362.34410750185,4471.351218322397,4581.00157967124,4692.207519507145,4808.682356625868,4928.070738332082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.912,2993.1741983927627,3063.957606363983,3137.249415895156,3213.8380281435648,3292.2414049056174,3373.3301927065427,3456.8477978569235,3542.3993793453815,3630.2685103058143,3721.3135795025764,3813.977133646639,3909.7874762043975,4007.723960415655,4108.1123021552685,4211.002923426831,4320.887442313211,4429.716039033894,4538.861245767477,4649.408023358447,4762.311264627835,4880.66540962361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
